YEAR,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
2016,1,1.055,1.250,0.309,0.764,2.135,2.794,13.983,11.282,1.000,0.068,0.068,0.111,0.004,0.008,0.113,0.008
2015,1,0.917,1.278,0.355,0.724,1.717,2.370,10.890,8.522,1.000,0.074,0.074,0.130,-0.014,-0.023,-0.317,-0.023
2014,1,0.753,1.352,0.385,0.813,0.976,1.201,4.610,4.215,1.000,0.063,0.063,0.105,-0.197,-0.192,-3.037,-0.192
2013,1,0.003,0.003,0.002,0.650,118.336,182.056,-0.601,308.888,1.000,-0.974,-97.448,-0.494,-0.003,-0.350,0.004,-0.004
2012,1,0.531,0.576,0.441,0.832,0.580,0.698,-0.948,0.911,1.000,-0.444,-0.444,-0.308,-0.411,-0.239,0.537,-0.239
2011,1,0.238,0.323,0.131,0.379,0.657,1.734,-0.826,4.274,1.000,-0.174,-0.174,-0.148,-0.302,-0.199,1.140,-0.199
2018,0,0.480,0.804,0.412,0.449,0.102,0.228,-0.938,0.445,1.000,0.511,0.511,0.915,-1.134,-0.116,-0.227,-0.116
2017,0,0.450,0.924,0.354,0.402,0.204,0.508,-6.201,1.325,1.000,0.509,0.509,1.169,-0.337,-0.069,-0.135,-0.069
2016,0,0.525,1.036,0.391,0.398,0.199,0.500,14.306,1.326,1.000,0.497,0.497,1.293,-0.028,-0.006,-0.011,-0.006
2015,0,0.699,1.215,0.533,0.481,0.246,0.510,2.882,1.162,1.000,0.564,0.564,1.424,-0.360,-0.088,-0.156,-0.088
2014,0,0.862,1.574,0.653,0.605,0.384,0.634,1.739,1.529,1.000,0.462,0.462,1.201,-0.049,-0.019,-0.041,-0.019
2013,0,0.458,1.032,0.375,0.581,0.212,0.366,11.790,1.006,1.000,0.461,0.461,0.818,-0.387,-0.082,-0.179,-0.082
2012,0,0.643,1.275,0.498,0.538,0.316,0.587,2.722,1.503,1.000,0.512,0.512,1.212,-0.248,-0.078,-0.153,-0.078
2011,0,0.748,1.410,0.549,0.517,0.413,0.800,2.754,2.055,1.000,0.493,0.493,1.344,-0.064,-0.027,-0.054,-0.027
2018,1,1.322,1.340,0.187,0.596,0.274,0.461,1.815,3.291,1.000,0.284,0.284,0.639,0.215,0.059,0.207,0.059
2017,1,3.735,3.737,0.076,0.439,0.016,0.036,0.049,1.779,1.000,0.470,0.470,4.006,1.412,0.022,0.048,0.022
2016,1,1.548,1.588,0.570,0.358,0.387,1.079,2.915,3.007,1.000,0.404,0.404,1.788,0.114,0.044,0.109,0.044
2015,1,1.955,2.010,1.016,0.449,0.407,0.906,1.802,1.791,1.000,0.331,0.331,1.480,0.054,0.022,0.066,0.022
2014,1,1.177,1.262,0.076,0.312,0.687,2.207,10.614,36.861,1.000,0.265,0.265,1.075,0.011,0.007,0.027,0.007
2013,1,1.125,1.126,0.060,0.300,0.000,0.000,0.000,0.000,1.000,0.246,0.246,0.924,0.000,0.025,0.102,0.025
2012,1,1.038,1.038,0.051,0.330,0.000,0.000,0.000,0.000,1.000,0.167,0.167,0.525,0.000,-0.010,-0.060,-0.010
2011,1,1.036,1.037,0.053,0.287,0.000,0.000,0.000,0.000,1.000,0.263,0.263,0.950,0.000,0.003,0.011,0.003
2018,0,0.368,0.403,0.003,0.353,0.093,0.262,-0.177,31.698,1.000,0.011,0.011,0.013,-0.276,-0.026,-2.273,-0.026
2017,0,0.470,0.501,0.009,0.435,0.113,0.260,-0.261,14.973,1.000,0.010,0.010,0.011,-0.392,-0.044,-4.570,-0.044
2016,0,0.490,0.511,0.011,0.503,0.106,0.211,-0.221,9.717,1.000,0.016,0.016,0.016,-0.225,-0.024,-1.523,-0.024
2015,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2014,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2013,0,0.000,0.000,0.033,0.001,0.205,324.246,-0.156,4.706,1.000,0.036,0.036,0.027,-0.450,-0.092,-2.577,-0.092
2012,0,0.568,0.614,0.051,0.691,0.400,0.579,-0.920,6.994,1.000,0.048,0.048,0.042,-0.337,-0.135,-2.833,-0.135
2011,0,0.265,0.343,0.021,0.609,0.486,0.798,-0.417,13.210,1.000,0.050,0.050,0.028,-0.175,-0.085,-1.701,-0.085
2018,1,0.453,0.763,0.111,0.673,1.619,2.407,-7.732,16.518,1.000,0.047,0.047,0.053,0.002,0.003,0.059,0.003
2017,1,0.573,0.730,0.055,0.625,1.259,2.015,-5.452,26.749,1.000,0.067,0.067,0.078,0.006,0.008,0.117,0.008
2016,1,0.677,0.949,0.028,0.802,2.212,2.757,-51.679,92.710,1.000,0.027,0.027,0.032,0.004,0.009,0.351,0.009
2015,1,0.715,0.936,0.221,0.778,2.376,3.053,-44.998,12.927,1.000,0.040,0.040,0.049,0.005,0.013,0.316,0.013
2014,1,0.724,0.919,0.058,0.787,2.028,2.575,-29.154,41.018,1.000,0.015,0.015,0.017,0.009,0.018,1.194,0.018
2013,1,0.691,0.937,0.100,0.792,1.622,2.049,-30.681,19.197,1.000,0.029,0.029,0.035,0.010,0.015,0.530,0.015
2012,1,0.800,0.980,0.015,0.799,1.892,2.368,-118.807,157.516,1.000,0.019,0.019,0.023,0.007,0.014,0.744,0.014
2011,1,0.852,0.989,0.101,0.788,1.411,1.792,-165.088,17.545,1.000,0.023,0.023,0.029,0.012,0.017,0.713,0.017
2018,1,1.369,1.371,0.791,0.559,0.418,0.749,2.768,1.297,1.000,0.096,0.096,0.235,0.258,0.108,1.128,0.108
2017,1,1.367,1.370,0.744,0.489,0.488,0.998,3.699,1.838,1.000,0.107,0.107,0.301,0.254,0.124,1.152,0.124
2016,1,1.339,1.342,0.714,0.406,0.601,1.478,5.801,2.780,1.000,0.104,0.104,0.343,0.233,0.140,1.349,0.140
2015,1,1.092,1.095,0.611,0.354,0.597,1.689,19.473,3.027,1.000,0.111,0.111,0.343,0.192,0.115,1.039,0.115
2014,1,4.060,4.084,0.731,1.233,0.602,0.488,0.647,2.727,0.302,0.340,0.103,0.340,0.168,0.101,0.986,0.336
2013,1,2.232,2.250,0.958,0.670,0.556,0.830,1.494,1.950,1.000,0.088,0.088,0.294,0.178,0.099,1.131,0.099
2012,1,2.781,2.786,0.715,0.702,0.564,0.803,1.253,3.129,1.000,0.085,0.085,0.336,0.233,0.131,1.547,0.131
2011,1,2.801,2.806,1.150,0.565,0.585,1.036,1.609,2.527,1.000,0.083,0.083,0.410,0.273,0.160,1.932,0.160
2018,1,5.906,5.961,1.524,0.648,0.294,0.453,0.545,1.772,1.000,0.111,0.111,1.023,0.256,0.075,0.675,0.075
2017,1,3.782,3.813,1.015,0.648,0.300,0.463,0.627,1.738,1.000,0.107,0.107,0.631,0.094,0.028,0.262,0.028
2016,1,3.436,3.459,1.174,0.574,0.237,0.412,0.580,1.214,1.000,0.193,0.193,1.165,0.305,0.072,0.373,0.072
2015,1,3.446,3.465,1.376,0.587,0.224,0.382,0.537,0.961,1.000,0.208,0.208,1.225,0.393,0.088,0.424,0.088
2014,1,4.717,4.732,3.024,0.671,0.260,0.388,0.492,0.607,1.000,0.179,0.179,1.259,0.370,0.096,0.540,0.096
2013,1,7.689,7.708,3.774,0.663,0.254,0.383,0.440,0.782,1.000,0.214,0.214,2.488,0.289,0.073,0.343,0.073
2012,1,10.559,10.585,4.982,0.649,0.230,0.354,0.391,0.753,1.000,0.221,0.221,3.599,0.301,0.069,0.314,0.069
2011,1,6.079,6.100,5.449,0.599,0.242,0.403,0.482,0.452,1.000,0.110,0.110,1.117,0.146,0.035,0.322,0.035
2018,0,1.144,1.144,1.034,0.997,0.181,0.181,1.442,0.201,1.000,0.128,0.128,0.147,-0.648,-0.117,-0.916,-0.117
2017,0,1.387,1.387,1.273,0.997,0.184,0.184,0.660,0.201,1.000,0.281,0.281,0.392,-1.089,-0.200,-0.710,-0.200
2016,0,1.201,1.201,1.078,0.996,0.226,0.227,1.359,0.253,1.000,0.010,0.010,0.012,-0.252,-0.057,-5.690,-0.057
2015,0,1.222,1.222,1.154,0.996,0.211,0.212,1.169,0.225,1.000,0.185,0.185,0.226,-0.841,-0.178,-0.962,-0.178
2014,0,1.153,1.153,1.119,0.994,0.072,0.072,0.544,0.074,1.000,0.031,0.031,0.036,-1.406,-0.101,-3.280,-0.101
2013,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.070,0.000,0.000,0.006,0.000,0.006,0.211,0.000,2.460,0.014
2012,0,1.022,1.022,0.790,0.989,0.069,0.069,3.207,0.090,1.000,0.008,0.008,0.008,-0.134,-0.009,-1.149,-0.009
2011,0,1.017,1.017,0.956,0.986,0.069,0.070,4.131,0.075,1.000,0.006,0.006,0.007,0.164,0.011,1.778,0.011
2018,1,2.738,2.753,0.450,0.732,0.735,1.004,1.577,6.150,1.000,0.368,0.368,1.384,0.115,0.084,0.229,0.084
2017,1,2.631,2.641,0.053,0.774,0.802,1.036,1.667,51.501,1.000,0.387,0.387,1.318,0.104,0.084,0.217,0.084
2016,1,2.727,2.736,0.132,0.868,0.650,0.749,1.181,15.513,1.000,0.366,0.366,1.153,0.034,0.022,0.061,0.022
2015,1,3.067,3.088,0.414,0.889,0.546,0.614,0.908,4.575,1.000,0.409,0.409,1.421,0.080,0.043,0.106,0.043
2014,1,1.742,1.757,0.024,0.888,0.625,0.703,1.632,51.061,1.000,0.120,0.120,0.238,0.129,0.081,0.670,0.081
2013,1,1.826,1.841,0.069,0.860,0.624,0.725,1.588,19.207,1.000,0.136,0.136,0.291,0.144,0.090,0.662,0.090
2012,1,1.956,1.962,0.202,0.886,0.631,0.712,1.453,6.933,1.000,0.138,0.138,0.305,0.158,0.100,0.726,0.100
2011,1,1.833,2.099,0.269,0.881,0.600,0.680,1.300,5.303,1.000,0.156,0.156,0.371,0.142,0.085,0.547,0.085
2018,0,1.946,2.074,0.106,0.341,0.239,0.701,1.354,13.759,1.000,1.091,1.091,6.639,-0.188,-0.045,-0.041,-0.045
2017,0,3.063,3.200,0.832,0.374,0.148,0.396,0.576,1.522,1.000,1.083,1.083,9.256,-0.745,-0.110,-0.102,-0.110
2016,0,6.257,6.558,1.127,0.310,0.135,0.434,0.513,2.529,1.000,1.033,1.033,21.867,-0.318,-0.043,-0.041,-0.043
2015,0,6.445,6.798,0.888,0.316,0.101,0.318,0.373,2.436,1.000,0.994,0.994,21.353,-0.176,-0.018,-0.018,-0.018
2014,0,0.420,0.433,0.173,0.723,0.126,0.174,-0.133,0.438,1.000,0.973,0.973,0.583,-0.072,-0.009,-0.009,-0.009
2013,0,0.267,0.285,0.025,0.791,0.177,0.224,-0.089,2.594,1.000,0.973,0.973,0.351,-1.368,-0.242,-0.249,-0.242
2012,0,0.268,0.286,0.004,0.853,0.152,0.178,-0.071,12.667,1.000,0.634,0.634,0.212,-0.614,-0.093,-0.147,-0.093
2011,0,0.087,0.094,0.002,0.874,0.194,0.222,-0.023,13.791,1.000,1.565,1.565,0.168,-4.299,-0.834,-0.533,-0.834
2018,1,2.090,2.208,0.189,0.550,0.456,0.830,1.516,9.682,1.000,0.280,0.280,1.125,0.113,0.052,0.184,0.052
2017,1,2.016,2.066,0.150,0.523,0.432,0.826,1.602,11.378,1.000,0.322,0.322,1.272,0.144,0.062,0.193,0.062
2016,1,1.751,1.825,0.140,0.411,0.427,1.038,2.296,13.519,1.000,0.334,0.334,1.480,0.155,0.066,0.199,0.066
2015,1,1.423,1.462,0.247,0.328,0.529,1.615,5.106,9.542,1.000,0.279,0.279,1.244,0.197,0.104,0.374,0.104
2014,1,1.344,1.377,0.445,0.303,0.595,1.961,7.160,6.068,1.000,0.266,0.266,1.206,0.170,0.101,0.381,0.101
2013,1,2.088,2.160,0.962,0.458,0.528,1.153,2.148,2.591,1.000,0.261,0.261,1.231,0.129,0.068,0.260,0.068
2012,1,4.957,5.208,1.402,0.556,0.378,0.681,0.842,2.528,1.000,0.322,0.322,3.015,15.275,5.777,17.956,5.777
2011,1,-11.163,4.590,1.050,0.552,0.347,0.629,0.805,2.752,1.000,0.253,0.253,2.107,0.151,0.052,0.207,0.052
2018,1,2.569,2.569,0.813,0.348,0.010,0.028,0.046,0.089,1.000,0.861,0.861,6.353,0.069,0.001,0.001,0.001
2017,1,3.659,3.659,1.321,0.338,0.008,0.024,0.034,0.068,1.000,0.903,0.903,9.770,0.032,0.000,0.000,0.000
2016,1,3.094,3.094,1.810,0.350,0.007,0.020,0.030,0.035,1.000,0.883,0.883,7.797,0.003,0.000,0.000,0.000
2015,1,2.556,2.556,0.833,0.316,0.013,0.041,0.067,0.125,1.000,0.870,0.870,7.044,0.110,0.001,0.002,0.001
2014,1,2.999,2.999,1.243,0.301,0.014,0.045,0.067,0.108,1.000,0.893,0.893,8.903,0.057,0.001,0.001,0.001
2013,1,2.787,2.787,1.500,0.262,0.009,0.036,0.056,0.066,1.000,0.900,0.900,9.574,0.089,0.001,0.001,0.001
2012,1,0.025,0.025,1.496,0.178,0.010,0.053,-0.001,0.001,1.000,0.922,0.922,0.128,0.121,0.001,0.001,0.001
2011,1,6.587,6.601,4.934,0.734,0.548,0.747,0.880,0.999,1.000,0.095,0.095,0.857,0.251,0.137,1.442,0.137
2018,1,2.754,3.239,0.316,0.707,0.373,0.528,0.764,5.420,1.000,0.038,0.038,0.174,0.102,0.038,1.001,0.038
2017,1,2.993,3.646,0.336,0.647,0.265,0.410,0.565,4.447,1.000,0.026,0.026,0.147,0.013,0.004,0.135,0.004
2016,1,2.899,3.315,0.586,0.668,0.217,0.324,0.465,1.834,1.000,0.023,0.023,0.114,0.015,0.003,0.138,0.003
2015,1,2.853,3.425,0.769,0.637,0.217,0.341,0.481,1.517,1.000,0.012,0.012,0.066,0.041,0.009,0.718,0.009
2014,1,3.648,4.154,0.544,0.707,0.213,0.302,0.397,2.305,1.000,0.011,0.011,0.066,0.089,0.019,1.680,0.019
2013,1,3.379,4.036,0.374,0.757,0.344,0.454,0.604,4.900,1.000,0.010,0.010,0.052,0.375,0.129,13.300,0.129
2012,1,3.679,3.859,1.511,0.732,0.280,0.383,0.517,0.978,1.000,0.015,0.015,0.079,0.128,0.036,2.394,0.036
2011,1,4.067,4.417,1.302,0.720,0.360,0.500,0.646,1.696,1.000,0.040,0.040,0.244,0.370,0.133,3.344,0.133
2018,0,2.007,2.007,0.495,0.768,0.196,0.256,0.510,1.037,1.000,0.093,0.093,0.243,-1.698,-0.333,-3.584,-0.333
2017,0,2.681,2.681,0.855,0.818,0.291,0.356,0.567,1.115,1.000,0.002,0.002,0.008,-0.391,-0.114,-45.710,-0.114
2016,0,3.030,3.030,1.001,0.827,0.366,0.442,0.660,1.340,1.000,0.021,0.021,0.078,0.003,0.001,0.046,0.001
2015,0,2.250,2.250,0.449,0.842,0.303,0.359,0.647,1.800,1.000,0.039,0.039,0.103,0.098,0.030,0.764,0.030
2014,0,2.438,2.438,0.484,0.008,0.002,0.296,0.503,1.494,0.010,0.060,0.001,0.173,0.131,0.000,0.550,0.033
2013,0,2.376,2.376,0.379,0.830,0.303,0.365,0.630,2.286,1.000,0.064,0.064,0.184,0.144,0.044,0.678,0.044
2012,0,2.780,2.780,0.732,0.850,0.326,0.383,0.598,1.454,1.000,0.001,0.001,0.002,0.212,0.069,135.186,0.069
2011,0,3.025,3.025,0.868,0.823,0.274,0.333,0.497,1.160,1.000,0.114,0.114,0.419,0.030,0.008,0.071,0.008
2018,1,2.356,2.357,0.914,0.810,1.378,1.700,2.952,4.387,1.000,0.004,0.004,0.011,0.402,0.554,146.151,0.554
2017,1,2.114,2.116,0.814,0.769,1.609,2.094,3.969,5.440,1.000,0.004,0.004,0.012,0.327,0.527,122.813,0.527
2016,1,2.250,2.253,0.788,0.705,1.739,2.468,4.438,7.054,1.000,0.009,0.009,0.027,0.316,0.550,64.611,0.550
2015,1,2.008,2.010,0.745,0.680,1.718,2.527,5.029,6.818,1.000,0.008,0.008,0.025,0.312,0.535,63.380,0.535
2014,1,2.222,2.223,1.096,0.690,1.645,2.384,4.334,4.836,1.000,0.017,0.017,0.055,0.342,0.563,33.265,0.563
2013,1,1.370,1.370,0.795,0.836,0.941,1.125,4.165,1.938,1.000,0.021,0.021,0.035,0.328,0.308,14.338,0.308
2012,1,2.510,2.511,1.335,0.836,0.867,1.036,1.722,1.949,1.000,0.020,0.020,0.059,0.340,0.294,14.876,0.294
2011,1,1.603,1.604,0.799,0.758,1.202,1.585,4.209,3.181,1.000,0.027,0.027,0.057,0.341,0.409,15.107,0.409
