YEAR,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
2018,1,0.605,1.107,0.005,0.950,1.083,1.139,11.779,269.937,1.000,0.005,0.005,0.006,0.023,0.025,5.251,0.025
2017,1,0.581,1.078,0.003,0.969,0.968,0.999,13.793,384.134,1.000,0.006,0.006,0.007,0.029,0.028,4.382,0.028
2016,1,0.524,1.065,0.011,0.976,1.147,1.175,19.154,112.326,1.000,0.004,0.004,0.005,0.016,0.019,4.506,0.019
2015,1,0.578,1.059,0.001,0.973,1.625,1.670,30.198,"1,303.996",1.000,0.003,0.003,0.003,0.017,0.027,8.766,0.027
2014,1,0.693,1.139,0.015,0.971,1.653,1.704,13.988,125.892,1.000,0.012,0.012,0.014,0.022,0.037,3.084,0.037
2013,1,0.809,1.144,0.011,0.971,1.823,1.878,14.951,192.077,1.000,0.013,0.013,0.015,0.025,0.045,3.454,0.045
2012,1,0.793,1.136,0.060,0.977,2.053,2.101,17.597,39.696,1.000,0.017,0.017,0.020,0.025,0.051,2.956,0.051
2011,1,0.762,1.090,0.037,0.971,2.069,2.132,25.698,63.427,1.000,0.021,0.021,0.023,0.022,0.046,2.199,0.046
2018,0,0.151,0.168,0.006,0.105,0.068,0.647,-0.130,17.074,1.000,0.442,0.442,0.704,-1.355,-0.092,-0.209,-0.092
2017,0,0.157,0.179,0.002,0.098,0.061,0.622,-0.136,52.836,1.000,0.434,0.434,0.797,-1.554,-0.094,-0.217,-0.094
2016,0,0.175,0.208,0.001,0.092,0.055,0.601,-0.158,105.692,1.000,0.442,0.442,1.002,-1.890,-0.104,-0.236,-0.104
2015,0,0.261,0.326,0.007,0.114,0.114,0.996,-0.483,46.230,1.000,0.431,0.431,1.235,-0.489,-0.056,-0.129,-0.056
2014,0,0.834,0.928,0.524,0.278,0.157,0.563,-7.223,0.998,1.000,0.416,0.416,1.388,-0.260,-0.041,-0.098,-0.041
2013,0,0.394,0.458,0.009,0.115,0.009,0.079,-0.067,3.850,1.000,0.272,0.272,1.082,-3.462,-0.032,-0.116,-0.032
2012,0,0.394,0.458,0.009,0.115,0.066,0.577,-0.488,28.051,1.000,0.272,0.272,1.082,-0.475,-0.032,-0.116,-0.032
2011,0,0.502,0.574,0.028,0.168,0.184,1.093,-1.471,22.168,1.000,0.101,0.101,0.346,-0.099,-0.018,-0.180,-0.018
2018,0,0.727,0.732,0.143,0.869,1.468,1.689,-4.615,8.677,1.000,0.206,0.206,0.173,-0.232,-0.341,-1.660,-0.341
2017,0,1.097,1.106,0.387,0.846,1.193,1.410,14.756,4.031,1.000,0.282,0.282,0.368,-0.632,-0.754,-2.676,-0.754
2016,0,3.710,3.724,1.807,0.864,0.903,1.045,1.428,2.154,1.000,0.256,0.256,1.105,-0.803,-0.725,-2.827,-0.725
2015,0,3.207,3.231,1.297,0.445,0.661,1.484,2.149,3.696,1.000,0.230,0.230,1.668,-0.203,-0.134,-0.584,-0.134
2014,0,3.670,3.681,1.627,0.517,0.791,1.530,2.100,3.461,1.000,0.149,0.149,1.058,0.186,0.147,0.988,0.147
2013,0,8.105,8.112,5.371,0.938,1.005,1.071,1.221,1.617,1.000,0.199,0.199,1.721,0.227,0.228,1.146,0.228
2012,0,3.085,3.095,2.428,0.932,0.736,0.790,1.167,1.006,1.000,0.135,0.135,0.448,0.044,0.032,0.241,0.032
2011,0,7.232,7.252,6.150,0.912,0.838,0.919,1.066,1.083,1.000,0.190,0.190,1.510,0.233,0.195,1.029,0.195
2018,1,3.217,3.221,1.009,0.867,0.714,0.824,1.194,2.628,1.000,0.261,0.261,0.969,0.136,0.097,0.372,0.097
2017,1,3.340,3.343,1.024,0.880,0.651,0.740,1.056,2.416,1.000,0.293,0.293,1.113,0.116,0.076,0.258,0.076
2016,1,3.867,3.871,1.105,0.900,0.677,0.752,1.014,2.634,1.000,0.342,0.342,1.469,0.065,0.044,0.129,0.044
2015,1,4.140,4.142,2.417,0.925,0.752,0.812,1.071,1.392,1.000,0.306,0.306,1.369,0.066,0.049,0.162,0.049
2014,1,5.595,5.598,2.740,0.940,0.678,0.721,0.878,1.473,1.000,0.466,0.466,2.776,0.051,0.035,0.074,0.035
2013,1,7.861,7.866,2.758,1.077,0.578,0.537,0.616,1.533,1.000,0.501,0.501,3.662,0.033,0.019,0.038,0.019
2012,1,6.143,6.144,2.398,0.917,0.689,0.751,0.897,1.924,1.000,0.513,0.513,3.439,0.138,0.095,0.185,0.095
2011,1,7.535,7.539,1.130,0.933,0.380,0.407,0.469,2.715,1.000,0.489,0.489,3.950,0.134,0.051,0.104,0.051
2018,0,0.875,1.116,0.063,0.375,1.015,2.707,25.962,47.985,1.000,0.565,0.565,1.683,0.046,0.046,0.082,0.046
2017,0,0.242,1.070,0.171,0.224,0.000,0.000,0.000,0.000,1.000,0.674,0.674,3.229,0.000,-0.040,-0.059,-0.040
2016,0,0.163,2.375,0.039,0.192,0.000,0.000,0.000,0.000,1.000,0.756,0.756,9.342,0.000,-0.034,-0.045,-0.034
2015,0,0.012,0.171,0.003,0.188,0.000,0.000,0.000,0.000,1.000,0.101,0.101,0.092,0.000,-0.020,-0.195,-0.020
2014,0,0.012,0.170,0.003,0.187,0.000,0.000,0.000,0.000,1.000,0.083,0.083,0.076,0.000,-0.001,-0.011,-0.001
2013,0,0.017,0.294,0.004,0.352,0.000,0.000,0.000,0.000,1.000,0.071,0.071,0.059,0.000,-0.002,-0.025,-0.002
2012,0,0.072,0.624,0.025,0.490,0.000,0.000,0.000,0.000,1.000,0.185,0.185,0.235,0.000,-0.024,-0.132,-0.024
2011,0,0.185,1.212,0.135,0.752,0.026,0.035,0.198,0.311,1.000,0.264,0.264,0.425,0.313,0.008,0.031,0.008
2018,1,0.157,0.157,0.848,0.086,0.533,6.228,-1.164,1.156,1.000,0.003,0.003,0.005,0.563,0.300,114.286,0.300
2017,1,0.173,0.175,0.613,0.137,0.699,5.110,-1.082,1.455,1.000,0.004,0.004,0.005,0.128,0.089,24.390,0.089
2016,1,0.170,0.172,0.674,0.138,0.486,3.512,-0.728,0.895,1.000,0.003,0.003,0.004,0.193,0.094,32.950,0.094
2015,1,0.489,0.489,0.855,0.266,0.496,1.867,-1.789,1.069,1.000,0.215,0.215,0.396,0.398,0.197,0.916,0.197
2014,1,0.234,0.234,1.295,0.112,0.446,3.990,-1.217,0.720,1.000,0.522,0.522,1.093,0.484,0.216,0.413,0.216
2013,1,0.167,0.171,0.891,0.099,0.672,6.799,-1.401,1.304,1.000,0.042,0.042,0.072,0.499,0.336,8.047,0.336
2012,1,0.181,0.182,0.725,0.117,0.693,5.942,-1.322,1.491,1.000,0.000,0.000,0.000,0.456,0.316,"1,724.570",0.316
2011,1,0.124,0.124,0.668,0.101,0.472,4.679,-0.664,0.870,1.000,0.008,0.008,0.009,0.327,0.154,20.113,0.154
2018,0,0.322,0.416,0.052,0.219,0.449,2.054,-1.464,16.475,1.000,0.077,0.077,0.146,0.325,0.146,1.900,0.146
2017,0,0.430,0.558,0.059,0.268,0.559,2.086,-2.636,19.904,1.000,0.065,0.065,0.135,-0.440,-0.246,-3.788,-0.246
2016,0,-0.782,-0.877,-0.098,0.382,0.513,1.341,0.627,11.988,-1.000,0.052,-0.052,0.120,-0.409,-0.210,4.007,0.210
2015,0,-0.581,-0.657,-0.117,0.385,0.553,1.436,0.570,8.085,-1.000,0.059,-0.059,0.101,-0.427,-0.236,3.980,0.236
2014,0,-0.296,-0.402,-0.192,0.225,0.602,2.670,0.766,5.603,-1.000,0.056,-0.056,0.100,-0.405,-0.244,4.351,0.244
2013,0,0.496,0.572,0.353,0.220,0.372,1.687,-2.250,2.733,1.000,0.035,0.035,0.091,-0.553,-0.206,-5.833,-0.206
2012,0,1.747,1.843,1.678,0.563,0.297,0.528,1.154,0.580,1.000,0.310,0.310,1.013,0.553,0.164,0.530,0.164
2011,0,1.256,1.339,1.217,0.482,0.362,0.752,2.970,0.827,1.000,0.027,0.027,0.076,0.552,0.200,7.350,0.200
2018,1,1.471,1.815,0.070,0.937,0.294,0.314,0.699,8.126,1.000,0.484,0.484,0.937,0.128,0.037,0.077,0.037
2017,1,1.345,1.702,0.037,0.907,0.369,0.407,0.986,18.927,1.000,0.002,0.002,0.004,0.286,0.106,54.674,0.106
2016,1,0.997,1.337,0.293,0.854,0.248,0.290,1.150,1.324,1.000,0.000,0.000,0.000,0.114,0.028,153.497,0.028
2015,1,1.051,1.405,0.263,0.872,0.309,0.354,1.227,1.890,1.000,0.380,0.380,0.612,0.211,0.065,0.172,0.065
2014,1,1.854,2.234,0.116,0.837,0.174,0.208,0.377,4.007,0.572,0.345,0.197,0.527,0.333,0.058,0.294,0.101
2013,1,0.958,1.220,0.115,0.758,0.247,0.325,1.802,3.452,1.000,0.003,0.003,0.005,0.268,0.066,23.112,0.066
2012,1,1.244,1.259,0.114,0.670,0.432,0.646,3.135,7.120,1.000,0.003,0.003,0.006,0.531,0.230,67.063,0.230
2011,1,0.663,0.686,0.091,0.470,0.219,0.465,-1.016,3.506,1.000,0.007,0.007,0.010,0.364,0.080,11.948,0.080
2018,1,1.200,1.317,0.229,0.595,0.472,0.793,3.291,4.559,1.000,0.409,0.409,0.905,0.066,0.031,0.076,0.031
2017,1,1.628,1.686,0.110,0.590,0.404,0.685,1.684,10.547,1.000,0.485,0.485,1.388,0.116,0.047,0.097,0.047
2016,1,1.797,1.878,0.092,0.514,0.384,0.746,1.597,15.253,1.000,0.577,0.577,2.109,0.083,0.032,0.055,0.032
2015,1,1.728,1.841,0.461,0.494,0.275,0.556,1.217,2.219,1.000,0.600,0.600,2.236,0.127,0.035,0.058,0.035
2014,1,1.764,1.938,0.252,0.423,0.213,0.503,1.040,3.870,1.000,0.661,0.661,3.028,0.028,0.006,0.009,0.006
2013,1,1.632,1.810,0.124,0.352,0.183,0.520,1.162,7.597,1.000,0.670,0.670,3.446,0.008,0.001,0.002,0.001
2012,1,1.813,2.042,0.296,0.392,0.227,0.579,1.133,3.991,1.000,0.620,0.620,3.231,0.004,0.001,0.002,0.001
2011,1,0.998,1.248,0.232,0.427,0.236,0.552,2.777,2.965,1.000,0.468,0.468,1.369,0.004,0.001,0.002,0.001
2018,1,0.789,1.352,0.037,0.608,0.346,0.570,2.189,20.691,1.000,0.349,0.349,0.777,0.007,0.002,0.007,0.002
2017,1,0.706,1.339,0.083,0.651,0.350,0.538,2.125,8.625,1.000,0.292,0.292,0.601,0.028,0.010,0.033,0.010
2016,1,0.693,1.304,0.032,0.638,0.446,0.699,2.996,28.789,1.000,0.237,0.237,0.485,0.044,0.020,0.082,0.020
2015,1,0.660,1.388,0.100,0.659,0.451,0.684,2.449,9.504,1.000,0.213,0.213,0.449,0.081,0.036,0.170,0.036
2014,1,0.789,1.216,0.052,0.739,0.453,0.613,3.446,14.386,1.000,0.124,0.124,0.204,0.099,0.045,0.362,0.045
2013,1,0.795,1.246,0.052,0.760,0.544,0.717,3.626,17.123,1.000,0.108,0.108,0.177,0.109,0.060,0.554,0.060
2012,1,0.644,1.162,0.024,0.722,0.570,0.790,5.665,38.015,1.000,0.078,0.078,0.125,0.133,0.076,0.974,0.076
2011,1,0.715,1.086,0.017,0.772,0.544,0.704,8.900,44.134,1.000,0.046,0.046,0.065,0.094,0.051,1.102,0.051
2018,0,1.056,1.861,0.619,0.151,0.176,1.165,2.519,3.503,1.000,0.791,0.791,9.735,-0.273,-0.048,-0.061,-0.048
2017,0,1.302,1.870,0.735,0.191,0.162,0.846,1.818,2.152,1.000,0.738,0.738,7.213,-0.229,-0.037,-0.050,-0.037
2016,0,1.309,1.956,0.597,0.176,0.155,0.880,1.799,2.880,1.000,0.747,0.747,8.310,-0.207,-0.032,-0.043,-0.032
2015,0,3.859,4.354,0.489,0.367,0.166,0.452,0.587,4.026,1.000,0.614,0.614,7.277,-0.109,-0.018,-0.030,-0.018
2014,0,3.794,4.232,0.565,0.385,0.200,0.519,0.679,3.888,1.000,0.585,0.585,6.440,0.060,0.012,0.020,0.012
2013,0,3.386,3.771,0.620,0.382,0.187,0.490,0.667,2.982,1.000,0.560,0.560,5.527,0.007,0.001,0.002,0.001
2012,0,4.308,4.819,0.954,0.440,0.217,0.494,0.624,2.497,1.000,0.500,0.500,5.483,0.070,0.015,0.030,0.015
2011,0,3.277,3.670,1.165,0.389,0.264,0.679,0.933,2.139,1.000,0.404,0.404,3.816,0.066,0.017,0.043,0.017
2018,1,1.442,1.807,0.174,0.793,0.883,1.112,2.491,11.579,1.000,0.003,0.003,0.007,0.051,0.045,14.645,0.045
2017,1,1.373,1.634,0.547,0.796,0.971,1.220,3.144,3.643,1.000,0.002,0.002,0.005,0.228,0.221,89.748,0.221
2016,1,0.912,1.418,0.392,0.728,0.993,1.364,4.628,4.935,1.000,0.002,0.002,0.004,0.155,0.154,76.183,0.154
2015,1,0.913,1.152,0.111,0.498,1.232,2.473,18.769,25.762,1.000,0.003,0.003,0.008,0.122,0.150,43.073,0.150
2014,1,1.737,1.992,0.108,0.301,0.056,0.187,0.376,3.444,1.000,0.005,0.005,0.036,2.740,0.154,28.730,0.154
2013,1,0.741,1.032,0.119,0.439,0.615,1.400,45.114,12.120,1.000,0.005,0.005,0.011,0.045,0.028,5.968,0.028
2012,1,1.871,1.871,0.154,0.243,0.100,0.413,0.887,5.001,1.000,0.070,0.070,0.537,0.767,0.077,1.104,0.077
2011,1,2.966,2.966,0.011,0.361,0.087,0.241,0.363,62.935,0.750,0.002,0.002,0.014,3.037,0.264,152.159,0.352
2018,1,0.420,1.538,0.047,0.563,0.705,1.252,3.582,41.199,1.000,0.192,0.192,0.525,0.045,0.032,0.165,0.032
2017,1,0.516,1.500,0.038,0.565,0.631,1.117,3.348,44.100,1.000,0.198,0.198,0.525,0.030,0.019,0.097,0.019
2016,1,0.750,1.628,0.078,0.512,0.679,1.327,3.440,27.546,1.000,0.250,0.250,0.795,0.025,0.017,0.069,0.017
2015,1,1.005,1.809,0.235,0.503,0.799,1.589,3.553,12.251,1.000,0.283,0.283,1.018,0.082,0.066,0.233,0.066
2014,1,176.671,177.639,0.042,0.425,0.006,0.014,0.014,59.379,0.010,0.327,0.003,1.369,0.053,0.000,0.097,0.032
2013,1,223.488,224.686,0.114,41.400,0.657,0.016,0.016,31.291,1.000,37.997,37.997,206.218,0.080,0.052,0.001,0.052
2012,1,1.150,2.034,0.193,0.474,0.530,1.118,2.200,11.793,1.000,0.371,0.371,1.590,0.047,0.025,0.068,0.025
2011,1,2.033,3.645,0.464,0.417,0.574,1.378,1.899,10.817,1.000,0.470,0.470,4.108,0.132,0.076,0.161,0.076
2018,1,40.968,40.970,0.282,0.246,0.001,0.004,0.004,0.609,1.000,0.011,0.011,1.754,15.610,0.016,1.529,0.016
2017,1,38.081,38.085,1.815,0.240,0.000,0.001,0.001,0.026,1.000,0.009,0.009,1.401,49.674,0.015,1.677,0.015
2016,1,11.837,11.837,0.146,0.174,0.000,0.002,0.002,0.140,1.000,0.009,0.009,0.588,33.113,0.010,1.148,0.010
2015,1,11.169,11.170,0.172,0.167,0.000,0.002,0.002,0.118,1.000,0.009,0.009,0.606,21.340,0.006,0.711,0.006
2014,1,4.614,4.614,0.133,0.179,0.001,0.003,0.004,0.106,1.000,0.009,0.009,0.225,4.951,0.003,0.310,0.003
2013,1,5.567,5.568,0.082,0.222,0.001,0.003,0.004,0.195,1.000,0.036,0.036,0.891,28.069,0.018,0.506,0.018
2012,1,8.186,8.187,0.039,0.257,0.001,0.002,0.003,0.504,1.000,0.056,0.056,1.787,24.091,0.015,0.266,0.015
2011,1,4.018,4.018,0.583,0.371,0.000,0.001,0.001,0.007,1.000,0.175,0.175,1.898,2.951,0.001,0.006,0.001
2018,1,1.561,1.608,0.783,0.537,0.924,1.723,4.555,3.538,1.000,0.141,0.141,0.421,0.020,0.019,0.133,0.019
2017,1,1.626,1.674,0.527,0.497,0.877,1.765,4.382,5.604,1.000,0.133,0.133,0.448,0.028,0.024,0.183,0.024
2016,1,1.473,1.518,0.643,0.505,1.057,2.093,6.131,4.946,1.000,0.129,0.129,0.387,0.089,0.094,0.726,0.094
2015,1,1.347,1.375,0.502,0.522,1.032,1.975,7.240,5.404,1.000,0.138,0.138,0.364,0.104,0.107,0.778,0.107
2014,1,1.345,1.378,0.583,0.487,1.088,2.234,8.146,5.283,1.000,0.163,0.163,0.463,0.109,0.118,0.722,0.118
2013,1,1.070,1.104,0.356,0.494,0.890,1.803,19.208,5.594,1.000,0.180,0.180,0.402,0.068,0.061,0.338,0.061
2012,1,0.860,0.889,0.242,0.431,0.727,1.684,-13.522,6.181,1.000,0.165,0.165,0.339,0.035,0.025,0.154,0.025
2011,1,0.799,0.824,0.310,0.410,0.719,1.754,-8.228,4.667,1.000,0.162,0.162,0.326,0.054,0.039,0.240,0.039
2018,1,0.486,0.486,0.044,1.000,2.510,2.510,-2.373,27.473,7.227,0.715,5.169,2.512,0.035,0.088,0.017,0.012
2017,1,0.508,0.508,0.031,1.000,2.274,2.274,-2.346,37.778,6.099,0.009,0.057,0.029,0.053,0.120,2.111,0.020
2016,1,0.631,0.631,0.083,1.000,1.975,1.975,-3.374,15.085,5.247,0.032,0.169,0.106,0.116,0.229,1.357,0.044
2015,1,0.680,0.680,0.032,1.000,2.174,2.174,-4.624,46.268,4.598,0.056,0.256,0.174,0.110,0.239,0.933,0.052
2014,1,0.917,0.917,3.042,1.000,228.797,228.797,"-2,520.495",68.963,3.540,0.084,0.298,0.273,0.107,24.461,82.109,6.909
2013,1,1.106,1.106,0.314,1.000,1.939,1.939,20.266,6.830,2.498,0.107,0.268,0.297,0.234,0.454,1.692,0.182
2012,1,1.082,1.082,0.127,1.000,2.136,2.136,28.137,18.252,2.578,0.072,0.185,0.200,0.187,0.400,2.162,0.155
2011,1,0.956,0.956,0.027,1.000,2.449,2.449,-52.875,87.759,2.614,0.600,1.568,1.498,0.166,0.407,0.260,0.156
2018,0,0.159,0.161,0.084,0.203,0.036,0.176,-0.034,0.337,1.000,0.430,0.430,0.341,-2.706,-0.097,-0.225,-0.097
2017,0,0.131,0.136,0.018,0.107,0.034,0.318,-0.050,2.455,1.000,0.857,0.857,1.083,-1.932,-0.066,-0.077,-0.066
2016,0,0.186,0.192,0.034,0.109,0.027,0.250,-0.059,1.411,1.000,0.999,0.999,1.758,-2.788,-0.076,-0.076,-0.076
2015,0,0.239,0.247,0.061,0.104,0.034,0.330,-0.109,1.338,1.000,1.056,1.056,2.502,-3.158,-0.109,-0.103,-0.109
2014,0,0.003,0.003,0.000,0.091,2.777,30.437,-0.087,261.977,1.000,1.030,103.026,3.216,-3.486,-9.679,-0.094,-0.097
2013,0,0.328,0.345,0.039,0.076,0.025,0.330,-0.174,2.953,1.000,0.780,0.780,3.553,-14.405,-0.360,-0.462,-0.360
2012,0,0.418,0.435,0.072,0.070,0.032,0.462,-0.355,2.774,1.000,0.740,0.740,4.578,-1.070,-0.035,-0.047,-0.035
2011,0,0.531,0.626,0.049,0.096,0.046,0.484,-0.809,6.165,1.000,0.610,0.610,3.980,-1.628,-0.076,-0.124,-0.076
2018,0,0.685,0.725,0.017,0.715,0.111,0.156,-0.410,6.601,1.000,0.007,0.007,0.007,-0.633,-0.071,-9.616,-0.071
2017,0,0.723,0.796,0.034,0.732,0.182,0.249,-0.971,5.816,1.000,0.007,0.007,0.007,-0.308,-0.056,-8.523,-0.056
2016,0,0.751,0.827,0.035,0.732,0.245,0.334,-1.598,7.798,1.041,0.025,0.026,0.029,-0.186,-0.045,-1.773,-0.044
2015,0,0.806,0.877,0.038,0.730,0.274,0.376,-2.688,8.769,1.014,0.013,0.013,0.016,-0.059,-0.016,-1.220,-0.016
2014,0,0.867,0.923,0.003,0.745,0.272,0.366,-4.366,119.076,1.002,0.012,0.012,0.015,0.037,0.010,0.859,0.010
2013,0,0.876,0.927,0.001,0.727,0.262,0.361,-4.555,273.997,0.967,0.010,0.010,0.013,-0.025,-0.007,-0.650,-0.007
2012,0,0.832,0.885,0.015,0.704,0.327,0.465,-3.591,26.916,0.998,0.018,0.018,0.023,0.005,0.002,0.089,0.002
2011,0,2.230,2.815,0.705,0.687,0.654,0.951,1.475,3.796,1.000,0.117,0.117,0.480,0.070,0.046,0.388,0.046
2018,1,1.370,1.370,0.134,0.987,1.076,1.090,4.033,11.104,1.000,0.007,0.007,0.009,0.021,0.023,3.493,0.023
2017,1,1.512,1.512,0.065,0.956,0.910,0.952,2.812,21.972,1.000,0.007,0.007,0.011,0.042,0.038,5.698,0.038
2016,1,1.158,1.158,0.217,0.953,1.662,1.744,12.775,9.316,1.000,0.005,0.005,0.006,0.001,0.002,0.481,0.002
2015,1,1.927,1.927,0.291,0.956,2.229,2.331,4.846,15.413,1.000,0.231,0.231,0.465,0.111,0.248,1.077,0.248
2014,1,1.334,1.334,0.047,0.959,2.125,2.215,8.843,63.513,1.000,0.055,0.055,0.076,0.064,0.137,2.489,0.137
2013,1,1.906,1.906,0.134,0.942,1.485,1.577,3.317,22.367,1.000,0.506,0.506,1.025,0.224,0.332,0.657,0.332
2012,1,5.336,5.336,0.779,0.923,1.682,1.822,2.242,12.482,1.000,0.827,0.827,4.780,0.364,0.612,0.740,0.612
2011,1,11.026,11.026,1.064,0.912,1.758,1.927,2.119,19.966,1.000,0.917,0.917,11.085,0.425,0.748,0.815,0.748
2018,1,1.626,1.704,0.491,0.753,1.958,2.602,6.297,9.030,1.000,0.025,0.025,0.057,0.129,0.252,10.066,0.252
2017,1,1.593,1.756,0.413,0.750,2.109,2.812,6.532,11.941,1.000,0.023,0.023,0.054,0.147,0.309,13.503,0.309
2016,1,1.031,1.227,0.288,0.681,1.653,2.429,13.151,10.331,1.000,0.019,0.019,0.035,0.151,0.249,12.845,0.249
2015,1,0.879,0.940,0.268,0.565,2.209,3.912,-61.331,13.717,1.000,0.034,0.034,0.056,0.083,0.183,5.423,0.183
2014,1,0.708,0.713,0.271,0.519,1.721,3.317,-8.251,8.729,1.000,0.045,0.045,0.062,0.105,0.181,4.010,0.181
2013,1,0.724,0.759,0.064,0.622,1.898,3.053,-9.639,36.179,1.000,0.068,0.068,0.083,0.020,0.039,0.573,0.039
2012,1,2.081,2.166,0.160,0.643,1.199,1.866,3.466,25.224,1.000,0.596,0.596,2.009,0.028,0.033,0.055,0.033
2011,1,1.361,1.417,0.105,0.643,0.966,1.503,5.106,20.319,0.790,0.313,0.247,0.545,0.019,0.018,0.074,0.023
2018,1,0.421,1.536,0.050,0.561,0.701,1.251,3.585,38.759,1.000,0.222,0.222,0.607,0.045,0.032,0.142,0.032
2017,1,0.519,1.500,0.042,0.562,0.626,1.113,3.340,39.392,1.000,0.228,0.228,0.607,0.034,0.021,0.093,0.021
2016,1,0.757,1.632,0.089,0.510,0.673,1.319,3.405,24.127,1.000,0.285,0.285,0.910,0.032,0.022,0.076,0.022
2015,1,1.023,1.825,0.256,0.503,0.789,1.570,3.474,11.211,1.000,0.319,0.319,1.159,0.088,0.070,0.219,0.070
2014,1,3.792,3.792,3.792,0.051,0.000,0.000,0.000,0.000,1.000,0.503,0.503,37.366,0.000,0.082,0.164,0.082
2013,1,1.312,1.312,1.312,0.028,0.000,0.000,0.000,0.000,1.000,0.568,0.568,26.472,0.000,20.701,36.437,20.701
2012,1,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.835,0.753,0.629,0.000,0.000,0.075,0.119,0.089
2011,1,0.286,0.286,0.286,0.041,0.000,0.000,0.000,0.000,1.000,0.729,0.729,5.083,0.000,-0.090,-0.123,-0.090
2018,1,2.584,2.584,1.456,0.925,1.245,1.347,2.197,2.390,1.000,0.033,0.033,0.093,0.057,0.071,2.146,0.071
2017,1,3.275,3.275,1.648,0.890,1.118,1.255,1.807,2.496,1.000,0.039,0.039,0.143,0.109,0.122,3.139,0.122
2016,1,3.433,3.433,1.246,0.824,1.287,1.562,2.204,4.305,1.000,0.049,0.049,0.203,0.013,0.017,0.348,0.017
2015,1,2.310,2.310,0.653,0.758,1.270,1.674,2.953,5.925,1.000,0.044,0.044,0.134,0.075,0.096,2.177,0.096
2014,1,1.715,1.715,0.520,0.730,1.167,1.599,3.836,5.275,1.000,0.044,0.044,0.103,0.001,0.001,0.027,0.001
2013,1,1.860,1.860,0.364,0.628,1.252,1.992,4.309,10.164,1.000,0.051,0.051,0.150,0.001,0.002,0.035,0.002
2012,1,1.657,1.657,0.652,0.609,1.116,1.833,4.622,4.661,1.000,0.046,0.046,0.125,0.058,0.065,1.415,0.065
2011,1,1.867,1.867,0.676,0.657,1.325,2.018,4.344,5.572,1.000,0.053,0.053,0.149,0.109,0.145,2.761,0.145
2018,1,0.620,1.150,0.146,0.962,0.331,0.344,2.641,2.706,1.000,0.163,0.163,0.195,0.001,0.000,0.002,0.000
2017,1,0.912,1.080,0.128,0.928,0.888,0.956,12.872,8.042,1.000,0.141,0.141,0.164,0.008,0.007,0.051,0.007
2016,1,0.605,1.071,0.012,0.922,0.643,0.698,10.543,64.841,1.000,0.139,0.139,0.161,0.008,0.005,0.038,0.005
2015,1,0.816,1.099,0.117,0.942,0.969,1.028,11.394,9.664,1.000,0.143,0.143,0.167,0.038,0.037,0.257,0.037
2014,1,0.864,1.008,0.226,0.891,0.547,0.614,78.198,2.741,1.000,0.116,0.116,0.132,0.056,0.031,0.265,0.031
2013,1,0.600,0.743,0.078,0.525,0.630,1.202,-3.470,11.392,1.000,0.294,0.294,0.416,0.017,0.011,0.037,0.011
2012,1,1.685,1.859,0.368,0.955,1.597,1.672,3.617,8.442,1.000,0.486,0.486,0.947,0.051,0.081,0.167,0.081
2011,1,3.025,3.247,1.008,0.931,2.127,2.284,3.301,7.360,1.000,0.713,0.713,2.487,0.040,0.085,0.120,0.085
2018,0,0.594,0.633,0.026,0.051,0.005,0.089,-0.154,2.180,1.000,0.139,0.139,1.716,-4.813,-0.022,-0.159,-0.022
2017,0,0.643,0.680,0.059,0.054,0.006,0.108,-0.230,1.248,1.000,0.136,0.136,1.718,-9.028,-0.053,-0.387,-0.053
2016,0,0.780,0.836,0.095,0.057,0.016,0.279,-1.422,2.448,1.000,0.130,0.130,1.897,-3.751,-0.060,-0.462,-0.060
2015,0,0.074,0.081,0.024,0.074,0.075,1.013,-0.089,3.454,1.000,0.120,0.120,0.131,-0.572,-0.043,-0.356,-0.043
2014,0,0.062,0.072,0.029,0.064,0.067,1.051,-0.082,2.626,1.000,0.110,0.110,0.125,-0.432,-0.029,-0.263,-0.029
2013,0,0.044,0.049,0.009,0.105,0.142,1.356,-0.069,6.973,2.525,0.107,0.270,0.125,-0.386,-0.055,-0.203,-0.022
2012,0,0.162,0.179,0.035,0.105,0.119,1.132,-0.246,5.822,1.000,0.264,0.264,0.450,-0.527,-0.063,-0.237,-0.063
2011,0,0.106,0.116,0.005,0.119,0.051,0.426,-0.056,10.182,1.000,0.250,0.250,0.245,-3.448,-0.174,-0.698,-0.174
2018,1,0.885,0.897,0.022,0.454,0.030,0.066,-0.579,2.671,1.000,0.273,0.273,0.541,0.188,0.006,0.021,0.006
2017,1,0.414,0.473,0.078,0.093,0.045,0.489,-0.439,2.968,1.000,0.440,0.440,2.246,0.276,0.013,0.028,0.013
2016,1,0.640,0.713,0.254,0.133,0.045,0.340,-0.844,0.953,1.000,0.469,0.469,2.513,0.357,0.016,0.034,0.016
2015,1,0.372,0.438,0.209,0.091,0.042,0.458,-0.357,0.960,1.000,0.492,0.492,2.360,0.292,0.012,0.025,0.012
2014,1,0.289,0.339,0.145,0.107,0.042,0.396,-0.203,0.928,1.000,0.388,0.388,1.237,0.163,0.007,0.018,0.007
2013,1,0.080,0.090,0.005,0.077,0.045,0.576,-0.057,10.621,1.000,0.050,0.050,0.058,0.011,0.000,0.010,0.000
